plant_fut_SZ,seed_SZ,HTp
futCM12,SA11,0.2863248754
futCM12,SA12,0.2622312677
futCM12,SA21,0.1628670966
futCM12,SA22,0.1539904005
futCM12,SA31,0.2380287178
futCM12,SA32,0.2860999923
futCM12,SA33,0.2583247081
futCM12,SA41,0.1497514864
futCM12,SA42,0.1907958526
futCM12,SA43,0.169205972
futCM12,UBH11,0.693153906
futCM12,UBH12,0.7506231576
futCM12,UBH13,0.6608070115
futCM12,UF11,0.419583186
futCM12,UF12,0.4493719922
futCM12,UF13,0.4084426134
futCM12,UF14,0.408104034
futCM12,UF15,0.4175999781
futCM12,UF24,0.3441573403
futCM12,UF25,0.3254364227
futCM13,AP11,0.8973888218
futCM13,BSA11,0.6259606532
futCM13,BSA12,0.6610953879
futCM13,CM11,0.876802348
futCM13,CM12,0.9410425768
futCM13,CM13,0.9020111248
futCM13,CM21,0.9287170517
futCM13,CM22,0.9167880761
futCM13,CM23,0.9186435195
futCM13,CM24,0.8998286532
futCM13,CM31,0.890425273
futCM13,CM32,0.8259180725
futCM13,CM33,0.8246787141
futCM13,CM34,0.7319806168
futCM13,CM35,0.6581975628
futCM13,CP11,0.8560559932
futCM13,CP12,0.8112879592
futCM13,DM11,0.9528965211
futCM13,DM12,0.9100994105
futCM13,DM13,0.8719697448
futCM13,DM21,0.9046061972
futCM13,DM22,0.81169945
futCM13,DM23,0.6271596592
futCM13,DMG11,0.6957138397
futCM13,FF11,0.6189094922
futCM13,FP11,0.5456266975
futCM13,FP12,0.3980238588
futCM13,KU11,0.7685094244
futCM13,LBH11,0.8525548513
futCM13,LBH12,0.7541420445
futCM13,LBH13,0.820017086
futCM13,LBH14,0.8650824973
futCM13,LBH15,0.8369206819
futCM13,LBH16,0.8391596056
futCM13,LBH21,0.7196315023
futCM13,LF11,0.7520032322
futCM13,LF12,0.7432658248
futCM13,LF13,0.5976805075
futCM13,LF14,0.5730528187
futCM13,LF15,0.6079324586
futCM13,LF21,0.5344999834
futCM13,LF22,0.5349082739
futCM13,LF23,0.4824670986
futCM13,M11,0.5746006018
